date,value,voltage
13-27-30,310.82,0.91
13-27-31,389.49,1.14
13-27-32,310.52,0.91
13-27-33,377.65,1.11
13-27-34,328.58,0.96
13-27-35,351.11,1.03
13-27-36,356.73,1.05
13-27-37,325.16,0.95
13-27-38,380.86,1.12
13-27-39,309.86,0.91
13-27-40,388.97,1.14
13-27-41,312.24,0.92
13-27-42,375.56,1.1
13-27-44,332.39,0.97
13-27-44,346.88,1.02
13-27-45,361.14,1.06
13-27-46,322.48,0.95
13-27-47,377.75,1.11
13-27-48,311.77,0.91
13-27-49,382.44,1.12
13-27-50,314.34,0.92
13-27-51,363.88,1.07
13-27-52,336.56,0.99
13-27-53,338.97,0.99
13-27-54,361.54,1.06
13-27-55,318.89,0.94
13-27-56,378.49,1.11
13-27-57,310.59,0.91
13-27-58,379.58,1.11
13-27-59,321.49,0.94
13-28-00,356.44,1.05
13-28-01,345.07,1.01
13-28-02,329.42,0.97
13-28-04,376.47,1.1
13-28-04,315.21,0.92
13-28-05,388.53,1.14
13-28-06,309.89,0.91
13-28-07,378.98,1.11
13-28-08,328.45,0.96
13-28-09,350.14,1.03
13-28-11,350.89,1.03
13-28-12,325.64,0.95
13-28-13,374.72,1.1
13-28-14,311.98,0.91
13-28-15,377.68,1.11
13-28-16,314.91,0.92
13-28-17,366.53,1.07
13-28-18,334.81,0.98
13-28-19,340.81,1
13-28-20,360.96,1.06
13-28-21,319.6,0.94
13-28-22,379.69,1.11
13-28-23,310.98,0.91
13-28-24,379.24,1.11
13-28-25,316.38,0.93
13-28-26,365.15,1.07
13-28-27,333.92,0.98
13-28-28,342.56,1
13-28-29,361.77,1.06
13-28-30,322.13,0.94
13-28-31,379.7,1.11
13-28-32,311.89,0.91
13-28-33,387.25,1.14
13-28-34,309.19,0.91
13-28-35,372.19,1.09
13-28-36,330.15,0.97
13-28-37,347.25,1.02
13-28-38,351.77,1.03
13-28-39,325.47,0.95
13-28-40,373.61,1.1
13-28-41,312.23,0.92
13-28-42,381.07,1.12
13-28-43,312.74,0.92
13-28-44,371.4,1.09
13-28-45,329.26,0.97
13-28-46,345.51,1.01
13-28-47,355.2,1.04
13-28-48,322.36,0.95
13-28-49,376.55,1.1
13-28-50,310.62,0.91
13-28-51,380.07,1.11
13-28-52,314.62,0.92
